Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
235.0,Corey Kispert,26.0,2TM,SF,55.0,9.0,18.8,3.2,6.9,0.464,1.5,4.1,0.357,1.7,2.8,0.621,0.57,1.3,1.6,0.82,0.5,1.9,2.3,1.6,0.3,0.2,0.8,1.1,9.1,
235.0,Corey Kispert,26.0,WAS,SF,19.0,2.0,19.5,3.1,6.3,0.496,1.6,4.0,0.395,1.5,2.3,0.674,0.622,1.4,1.8,0.765,0.3,2.0,2.3,1.7,0.4,0.2,0.7,1.1,9.2,
235.0,Corey Kispert,26.0,ATL,SF,36.0,7.0,18.5,3.2,7.2,0.45,1.4,4.1,0.338,1.8,3.1,0.6,0.547,1.3,1.5,0.855,0.6,1.8,2.4,1.6,0.2,0.2,0.8,1.1,9.1,
236.0,Sam Hauser,28.0,BOS,PF,76.0,47.0,24.7,3.2,7.6,0.417,2.5,6.4,0.387,0.7,1.3,0.568,0.578,0.2,0.3,0.85,0.7,3.1,3.8,1.4,0.5,0.3,0.5,1.4,9.1,
237.0,Josh Oduro,25.0,NOP,PF,1.0,0.0,26.0,4.0,7.0,0.571,0.0,0.0,,4.0,7.0,0.571,0.571,1.0,2.0,0.5,2.0,3.0,5.0,1.0,0.0,0.0,1.0,4.0,9.0,
238.0,Tristan Vukcevic,22.0,WAS,C,49.0,12.0,13.7,3.1,6.5,0.479,1.0,2.9,0.347,2.1,3.5,0.59,0.558,1.8,2.3,0.784,0.7,2.3,3.0,1.1,0.5,0.7,1.3,1.7,9.0,
239.0,Herbert Jones,27.0,NOP,SF,56.0,56.0,28.4,3.3,8.5,0.383,1.4,4.6,0.309,1.8,3.9,0.47,0.467,0.9,1.1,0.806,0.8,2.6,3.4,2.8,1.6,0.5,1.3,3.2,8.9,
240.0,Danny Wolf,21.0,BRK,PF,57.0,15.0,20.8,3.1,7.7,0.405,1.2,3.7,0.322,1.9,4.0,0.48,0.482,1.5,1.9,0.771,1.0,3.9,4.9,2.2,0.5,0.6,1.3,2.2,8.9,
241.0,Adama-Alpha Bal,22.0,MEM,SG,6.0,0.0,27.3,3.2,7.7,0.413,2.2,5.0,0.433,1.0,2.7,0.375,0.554,0.3,0.5,0.667,0.7,2.2,2.8,1.7,1.0,0.0,0.7,4.0,8.8,
242.0,Nolan Traoré,19.0,BRK,PG,55.0,31.0,22.3,3.2,8.5,0.381,1.1,3.3,0.328,2.1,5.1,0.415,0.445,1.3,1.7,0.78,0.2,1.5,1.7,3.9,0.8,0.4,2.3,2.2,8.8,
243.0,Jordan Clarkson,33.0,NYK,SG,69.0,1.0,17.8,3.3,7.3,0.451,1.0,3.1,0.332,2.3,4.3,0.536,0.52,1.1,1.3,0.826,0.9,0.9,1.8,1.3,0.4,0.1,0.9,1.7,8.7,
244.0,Jordan Goodwin,27.0,PHO,PG,69.0,9.0,22.6,3.3,7.9,0.412,1.6,4.3,0.366,1.7,3.6,0.468,0.512,0.6,0.8,0.696,2.0,2.9,4.9,2.2,1.5,0.2,1.0,1.9,8.7,
