Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
570.0,Trevor Keels,22.0,MIA,SG,7.0,0.0,12.0,6.0,27.0,0.222,6.0,24.0,0.25,0.0,3.0,0.0,0.333,0.0,0.0,,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,18.0,
571.0,John Tonje,24.0,BOS,SG,5.0,0.0,12.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,,0.0,6.0,6.0,1.0,0.0,6.0,6.0,3.0,3.0,0.0,0.0,3.0,6.0,
572.0,Zyon Pullin,24.0,MIN,SG,4.0,0.0,12.0,3.0,3.0,1.0,0.0,0.0,,3.0,3.0,1.0,1.0,6.0,6.0,1.0,0.0,0.0,0.0,12.0,3.0,0.0,9.0,6.0,12.0,
573.0,Enrique Freeman,25.0,MIN,PF,3.0,0.0,11.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,9.8,9.8,0.0,0.0,3.3,0.0,0.0,0.0,
574.0,CJ Huntley,24.0,PHO,SF,3.0,0.0,11.0,3.3,9.8,0.333,0.0,3.3,0.0,3.3,6.5,0.5,0.333,0.0,0.0,,3.3,0.0,3.3,3.3,0.0,0.0,0.0,3.3,6.5,
575.0,Tosan Evbuomwan,24.0,NYK,SF,5.0,0.0,8.0,0.0,4.5,0.0,0.0,0.0,,0.0,4.5,0.0,0.0,0.0,0.0,,4.5,4.5,9.0,0.0,0.0,0.0,0.0,4.5,0.0,
576.0,Stanley Umude,26.0,SAS,SG,2.0,0.0,7.0,5.1,10.3,0.5,0.0,5.1,0.0,5.1,5.1,1.0,0.5,0.0,0.0,,0.0,0.0,0.0,5.1,5.1,0.0,0.0,10.3,10.3,
577.0,Colby Jones,23.0,DET,SG,1.0,0.0,7.0,5.1,15.4,0.333,0.0,10.3,0.0,5.1,5.1,1.0,0.333,0.0,0.0,,0.0,20.6,20.6,10.3,0.0,0.0,0.0,5.1,10.3,
578.0,Noa Essengue,19.0,CHI,PF,2.0,0.0,6.0,0.0,18.0,0.0,0.0,12.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,
579.0,Trentyn Flowers,20.0,CHI,SF,2.0,0.0,6.0,12.0,18.0,0.667,0.0,6.0,0.0,12.0,12.0,1.0,0.667,0.0,0.0,,6.0,0.0,6.0,6.0,0.0,0.0,6.0,6.0,24.0,
580.0,Darius Brown II,26.0,CLE,SG,1.0,0.0,3.0,0.0,12.0,0.0,0.0,0.0,,0.0,12.0,0.0,0.0,0.0,0.0,,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,
,League Average,,,,,,,,,0.471,,,0.36,,,0.55,0.546,,,0.783,,,,,,,,,,
